page,ref,spill
3,"Genesis 1:1-26",yes
4,"Genesis 1:27-2:20",yes
5,"Genesis 2:21-3:17",yes
6,"Genesis 3:18-4:18",yes
7,"Genesis 4:19-5:29",yes
8,"Genesis 5:30-7:4",yes
9,"Genesis 7:5-8:13",yes
10,"Genesis 8:14-9:19",
11,"Genesis 9:20-10:19",yes
12,"Genesis 10:20-11:16",yes
13,"Genesis 11:17-12:15",yes
14,"Genesis 12:16-14:8",yes
15,"Genesis 14:9-15:8",
16,"Genesis 15:9-16:15",yes
17,"Genesis 16:16-18:2",yes
18,"Genesis 18:3-29",
19,"Genesis 18:30-19:21",yes
20,"Genesis 19:22-20:10",
21,"Genesis 20:11-21:22",yes
22,"Genesis 21:23-22:17",yes
23,"Genesis 22:18-24:3",yes
24,"Genesis 24:4-31",
25,"Genesis 24:32-60",yes
26,"Genesis 24:61-25:23",yes
27,"Genesis 25:24-26:17",yes
28,"Genesis 26:18-27:12",
29,"Genesis 27:13-38",
30,"Genesis 27:39-28:17",yes
31,"Genesis 28:18-29:25",yes
32,"Genesis 29:26-30:18",
33,"Genesis 30:19-31:4",yes
34,"Genesis 31:5-35",yes
35,"Genesis 31:36-32:7",yes
36,"Genesis 32:8-33:4",yes
37,"Genesis 33:5-34:12",
38,"Genesis 34:13-35:10",yes
39,"Genesis 35:11-36:10",yes
40,"Genesis 36:11-37",yes
41,"Genesis 36:38-37:20",yes
42,"Genesis 37:21-38:12",
43,"Genesis 38:13-39:7",yes
44,"Genesis 39:8-40:16",yes
45,"Genesis 40:17-41:27",yes
46,"Genesis 41:28-56",yes
47,"Genesis 41:57-42:29",yes
48,"Genesis 42:30-43:18",yes
49,"Genesis 43:19-44:12",yes
50,"Genesis 44:13-45:7",
51,"Genesis 45:8-46:10",yes
52,"Genesis 46:11-47:2",yes
53,"Genesis 47:3-26",yes
54,"Genesis 47:27-48:18",
55,"Genesis 48:19-49:15",yes
56,"Genesis 49:16-50:4",yes
57,"Genesis 50:5-26",
58,"Exodus 1:1-2:9",yes
59,"Exodus 2:10-3:9",yes
60,"Exodus 3:10-4:9",yes
61,"Exodus 4:10-5:5",yes
62,"Exodus 5:6-6:12",
63,"Exodus 6:13-7:12",yes
64,"Exodus 7:13-8:12",yes
65,"Exodus 8:13-9:7",yes
66,"Exodus 9:8-35",yes
67,"Exodus 10:1-24",yes
68,"Exodus 10:25-12:13",yes
69,"Exodus 12:14-39",
70,"Exodus 12:40-13:17",yes
71,"Exodus 13:18-14:23",yes
72,"Exodus 14:24-15:13",yes
73,"Exodus 15:14-16:6",yes
74,"Exodus 16:7-32",yes
75,"Exodus 16:33-18:4",yes
76,"Exodus 18:5-19:5",yes
77,"Exodus 19:6-20:6",yes
78,"Exodus 20:7-21:8",yes
79,"Exodus 21:9-22:1",
80,"Exodus 22:2-28",
81,"Exodus 22:29-23:24",yes
82,"Exodus 23:25-24:18",
